Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
data/m05/tracks/,0,548.9675132,57,0.0025653,0.003899927,0.103831281,15.40129865,0.2,7.624548795,1.255431193,0.741456827,0.57362153,44.47226151,1.84788587,-0.239880044,-35.12777362,3.831831458,0.325847379,4.001633141,-0.152975012,6.18839331,-1.635245424,4.033318956,-0.933312912,-0.386691119,0.465053791,3.884938407,5.091593524,6.622157041,7.916673075,8.881919896,10.18722019,11.20860868,11.68389218,12.84242433,13.65250963,0.882352941,0.588235294,0.367647059,0.264705882,0.205882353,0.147058824,0.117647059,0.102941176,0.073529412,0.058823529,0.358484246,0.196578024,0.377627164,0.052755778,0.067535857,0.093983506,-0.01907842,-0.127360373,-0.246642202,-0.222032534,0.368421053,0.315789474,0.411764706,0.352941176,0.631578947,0.578947368,0.963786526,0.103670117,1.952361301,0.840042258,0.150809145,1.63494324,1.308746715,0.009764875,2.67397214,1.154992753,0.037374153,2.352155652,1.00338405,0.060390074,2.737468841,0.867074024,0.107529102,1.980525715
data/m05/tracks/,1,486.0572423,126.6491216,0.556477912,0.296436415,0.26056421,15.92607924,0.282842712,6.750795032,1.292227533,0.814534467,0.866331541,30.03035987,2.561564182,0.311134026,45.07895486,8.528055895,5.197856254,8.79738706,6.840260525,4.445569025,4.124069051,3.637646411,2.430260404,0.376111039,-0.192759205,4.100384909,4.879194605,5.690211723,6.820916072,8.597065197,11.63812619,12.4859246,13.4390888,13.4390888,14.49397488,0.941176471,0.720588235,0.529411765,0.352941176,0.205882353,0.102941176,0.088235294,0.073529412,0.073529412,0.058823529,0.477770677,0.315307905,0.239626388,0.246483665,0.104287146,0.098015559,-0.086054527,0.075366573,-0.036074058,0.00528645,0.684210526,0.684210526,0.631578947,0.684210526,0.647058824,0.588235294,0.788805822,0.028838599,2.259659067,0.754364932,0.008780177,2.220707604,0.900679784,0.040660093,2.236951569,0.881768061,0.026945073,2.253182155,0.741559492,0.035341753,2.167995483,0.692940551,0.006410169,2.10512247
data/m05/tracks/,2,571.4789749,167.6722994,0.065741941,0.003931527,0.293400644,13.14686274,0.282842712,7.937207985,1.463021071,0.863494275,0.334855558,49.93368665,1.407508005,-0.157815894,71.76665046,2.025719833,3.543966033,0.13086535,-0.123997539,-1.303532307,-0.945829328,-0.231006329,-0.889756587,0.039122459,-0.92576025,6.096551167,6.965713204,7.996092183,8.976604796,10.00458572,11.12103685,11.32995759,11.53922323,12.306145,13.02145972,0.838235294,0.705882353,0.573529412,0.470588235,0.382352941,0.308823529,0.294117647,0.279411765,0.220588235,0.176470588,0.553414692,0.210099682,0.217426195,0.25898077,0.248684817,0.315197021,0.52153877,0.563736177,0.255140363,0.062941093,0.35,0.4,0.421052632,0.421052632,0.315789474,0.315789474,0.838526523,0.040606192,2.757575989,0.903941764,0.029199117,2.72225281,0.734307237,0.144741758,2.702807906,0.847861758,0.214547067,2.667484726,0.836489357,0.117255135,2.633837379,0.868301229,0.070461017,2.5985142
data/m05/tracks/,3,523.9393753,42.94182111,0.260111678,0.24269967,0.081959523,8.4,0.2,7.276935768,0.838334208,0.82664774,-0.106678712,24.16733359,0.919679744,-0.015066661,-44.98572832,0.953419202,-0.800644491,0.675009115,-0.831079096,0.809281148,0.037010023,-0.354395525,-1.032794363,-0.875862431,-0.630357503,3.522536002,4.090901145,5.219080284,6.499086272,7.071109177,7.371366098,8.338520465,8.589438499,9.551963149,0,0.941176471,0.735294118,0.441176471,0.25,0.191176471,0.161764706,0.073529412,0.058823529,0.014705882,0,0.222435721,0.197406737,0.263130849,0.053344017,0.032811071,-0.102889979,-0.116172115,0.008989788,0.027126793,0.031078462,0.444444444,0.444444444,0.611111111,0.611111111,0.578947368,0.578947368,1.020945877,0.016525703,2.706050092,0.937474562,0.087280354,2.431881109,0.961865372,0.002702696,2.605064184,0.899340137,0.017235044,2.330895201,1.062915651,0.040659141,2.559654999,1.00923158,0.152124382,2.37784682
data/m05/tracks/,4,484.9897365,63.34824386,0.001221094,0.005526714,0.1306177,6.965629907,0.2,6.735968562,0.828654965,0.823151307,0.148356907,26.4774007,1.414020682,-0.211066257,-18.04277396,1.722378942,-1.011613733,1.074344402,6.062017973,-1.436937751,-0.997927544,-1.116578342,-0.362255262,0.503496583,-1.02471999,2.896360113,3.644660253,4.504025544,5.698974445,6.778642316,7.941480278,8.528435553,9.414881837,9.414881837,0,0.867647059,0.573529412,0.338235294,0.161764706,0.088235294,0.044117647,0.029411765,0.014705882,0.014705882,0,0.206136325,0.466462767,0.239859414,0.232006698,0.112009208,0.14632991,0.253136176,-0.000413296,0.1376603,-0.049683527,0.421052632,0.473684211,0.421052632,0.473684211,0.315789474,0.315789474,0.851087514,0.143351503,1.938133647,0.792953346,0.057340783,1.860196113,0.898638823,0.086924496,2.051633385,0.863118678,0.181005824,1.80943109,0.939272752,0.012925052,2.311202452,0.916776498,0.024368434,2.069000157
data/m05/tracks/,5,405.3582001,18,0.761214678,0.831499135,0.044405171,12.56025477,0.2,5.629975001,1.025070477,0.7667281,0.796167168,23.65775236,2.202418153,0.546409063,-50.02724676,6.96038842,8.108162436,3.554908724,-0.082598651,1.994887283,4.033915179,1.330623187,1.859359031,0.640791815,-0.708133276,3.161118047,4.202489141,5.741725497,7.980201192,9.732311412,10.56450263,10.56450263,11.33346377,11.33346377,12.02295574,0.794117647,0.5,0.264705882,0.132352941,0.088235294,0.073529412,0.073529412,0.058823529,0.058823529,0.044117647,0.310601937,0.340303609,0.149722364,0.131608478,0.153095929,0.274101191,0.210923198,-0.053702109,-0.074943891,-0.221903376,0.6,0.55,0.526315789,0.473684211,0.5,0.444444444,0.729066033,0.049724398,1.988867446,0.700720972,0.034330842,2.019064053,0.549705426,0.064048583,1.401019073,0.559898091,0.056679303,1.410852846,0.549482048,0.015932835,1.645344239,0.570848151,0.10479505,1.771218512
data/m05/tracks/,6,637.5033596,84.11896338,0.01438273,0.010163127,0.13195062,14.80810589,0.447213595,8.854213328,1.482749296,0.714774955,0.118625544,36.7933134,1.405856134,-0.204685307,-22.86690332,3.951511231,0.35917719,-1.11846918,1.70936049,-1.44438372,-1.147611157,-1.292696531,-1.261411728,-1.805662529,-1.348882374,5.771999076,6.109801759,6.978528425,7.990196925,9.312704608,10.19840716,10.59851133,11.13685789,11.67252762,12.81914729,0.955882353,0.882352941,0.705882353,0.544117647,0.397058824,0.323529412,0.294117647,0.25,0.205882353,0.132352941,0.383810416,0.191617628,0.156510817,0.076369786,0.052994834,0.049706613,-0.183397175,-0.023819983,-0.018353631,-0.140349825,0.55,0.6,0.473684211,0.578947368,0.473684211,0.578947368,0.483432243,0.002912785,2.178272855,0.470461957,0.025081288,2.044254413,0.387937515,0.043343039,1.086698105,0.393560984,0.030318978,1.180576783,0.364761672,0.019608531,0.923113834,0.369646728,0.013304743,0.870253023
data/m05/tracks/,7,468.3098311,37.94733192,0.025595955,0.061561848,0.081030398,11.76435294,0.2,6.504303209,0.598365162,0.679529852,1.729189154,59.08301244,2.639492736,-0.200171021,-40.64446278,7.29018757,4.31941125,2.372049535,-0.203022313,1.269903321,-0.230487636,-0.571030144,-1.189811712,-1.217740448,0.977910828,3.827914538,4.875922729,6.540345801,7.071635665,7.790253559,8.660021946,9.242886747,9.757310577,10.61030302,12.56893333,0.955882353,0.661764706,0.397058824,0.338235294,0.264705882,0.191176471,0.147058824,0.117647059,0.073529412,0.029411765,0.285390386,0.316357968,0.089314449,0.24526454,-0.020493222,-0.140397494,-0.175811429,-0.113474752,-0.111548595,-0.07927667,0.5,0.45,0.526315789,0.578947368,0.578947368,0.578947368,0.628078629,0.014253229,2.054149052,0.620551261,0.014927732,2.128472704,0.723755553,0.027077296,2.121456154,0.698123068,0.001044295,2.166463339,0.784863141,0.006817681,2.219963752,0.762010701,0.044721091,2.264970937
data/m05/tracks/,8,445.1429318,43.8634244,0.036879793,0.028799653,0.098537843,7.088018059,0,6.18254072,1.11495458,0.682913469,-0.202736602,14.38290121,0.802165953,-0.21691747,-30.84049935,0.442798746,-0.635722823,-0.320699784,-1.082498815,-0.608617531,1.840647075,0.652200196,-0.554918759,-1.295709048,-1.458830929,3.820306231,4.164030286,4.6271193,5.679531802,6.399371719,7.169198261,7.606357807,8.062257748,0,0,0.926470588,0.808823529,0.632352941,0.338235294,0.205882353,0.102941176,0.058823529,0.014705882,0,0,0.114622895,0.285265185,-0.005143913,-0.07758613,-0.132321794,-0.026968192,-0.040544343,0.026232918,-0.083534238,0.027670226,0.4,0.25,0.263157895,0.263157895,0.157894737,0.157894737,0.764170512,0.007513494,2.166158708,0.751627106,0.003482119,2.197845333,0.764872119,0.029439774,2.011296411,0.765407711,0.007448157,2.087424973,0.678304971,0.021058773,2.024994185,0.700414635,0.003764131,2.101122746
data/m05/tracks/,9,404.2104998,30.46309242,0.109379822,0.074142008,0.075364426,8.236504113,0.2,5.61403472,0.812966972,0.81307316,0.354398404,16.74347784,1.857543579,-0.133581299,-37.3715472,6.320025822,-0.002859741,-0.278272616,-1.276592001,-1.005487093,-1.124797729,-0.466603396,-0.211509379,0.791251537,-1.272379459,3.4647196,4.110286379,4.851266344,5.353808509,6.618263521,7.460480143,8.580520854,9.176055798,9.176055798,0,0.75,0.558823529,0.382352941,0.279411765,0.117647059,0.058823529,0.029411765,0.014705882,0.014705882,0,0.27790158,0.133877362,0.228683756,0.168168471,0.123991343,0.286709372,0.158421915,-0.132905679,0.268584234,0.029029193,0.5,0.55,0.473684211,0.526315789,0.555555556,0.555555556,0.465345809,0.068856489,1.443648589,0.429490395,0.025212048,1.467555675,0.585112677,0.014308881,1.579803295,0.556767079,0.028790918,1.603710381,0.480871097,0.046255258,1.505413567,0.454002695,0.077866959,1.529320653
